visit_id,ship_name,visit_date,visitor_name,visit_outcome,bbsc_notes
1,Arvia,2024-05-02,Visitor 7,Completed,Procedures not followed
2,Aurora,2024-06-25,Visitor 10,Completed,Positive crew engagement
3,Arvia,2024-06-12,Visitor 5,Missed,Positive crew engagement
4,Britannia,2024-05-04,Visitor 5,Missed,Excellent cultural alignment
5,Ventura,2024-02-24,Visitor 7,Missed,Needs safety improvement
6,Aurora,2024-01-29,Visitor 10,Postponed,Excellent cultural alignment
7,Britannia,2024-05-27,Visitor 4,Postponed,Procedures not followed
8,Aurora,2024-05-24,Visitor 8,Missed,Positive crew engagement
9,Iona,2024-04-20,Visitor 2,Postponed,Needs safety improvement
10,Arvia,2024-03-13,Visitor 8,Missed,Needs safety improvement
11,Britannia,2024-06-15,Visitor 4,Completed,Excellent cultural alignment
12,Aurora,2024-03-07,Visitor 1,Completed,Positive crew engagement
13,Arvia,2024-02-25,Visitor 6,Postponed,Positive crew engagement
14,Britannia,2024-04-04,Visitor 5,Missed,Procedures not followed
15,Iona,2024-06-26,Visitor 8,Missed,Procedures not followed
16,Britannia,2024-04-18,Visitor 6,Completed,Positive crew engagement
17,Aurora,2024-02-05,Visitor 1,Postponed,Needs safety improvement
18,Ventura,2024-06-20,Visitor 1,Postponed,Needs safety improvement
19,Aurora,2024-06-18,Visitor 1,Postponed,Positive crew engagement
20,Aurora,2024-05-27,Visitor 7,Completed,Procedures not followed
21,Iona,2024-02-09,Visitor 3,Postponed,Procedures not followed
22,Arvia,2024-01-03,Visitor 8,Completed,Needs safety improvement
23,Arvia,2024-03-04,Visitor 10,Postponed,Positive crew engagement
24,Aurora,2024-05-03,Visitor 2,Missed,Excellent cultural alignment
25,Britannia,2024-03-12,Visitor 1,Postponed,Positive crew engagement
26,Ventura,2024-01-27,Visitor 3,Missed,Needs safety improvement
27,Arvia,2024-01-12,Visitor 7,Completed,Excellent cultural alignment
28,Ventura,2024-02-22,Visitor 2,Missed,Excellent cultural alignment
29,Aurora,2024-06-27,Visitor 3,Missed,Excellent cultural alignment
30,Arvia,2024-06-04,Visitor 2,Completed,Procedures not followed
31,Ventura,2024-06-15,Visitor 10,Postponed,Positive crew engagement
32,Arvia,2024-03-06,Visitor 6,Postponed,Positive crew engagement
33,Ventura,2024-01-14,Visitor 9,Postponed,Excellent cultural alignment
34,Britannia,2024-04-04,Visitor 10,Missed,Excellent cultural alignment
35,Aurora,2024-04-19,Visitor 7,Completed,Procedures not followed
36,Iona,2024-04-06,Visitor 2,Postponed,Positive crew engagement
37,Aurora,2024-03-03,Visitor 10,Postponed,Procedures not followed
38,Ventura,2024-04-20,Visitor 3,Missed,Excellent cultural alignment
39,Ventura,2024-01-09,Visitor 2,Postponed,Needs safety improvement
40,Ventura,2024-01-12,Visitor 8,Postponed,Needs safety improvement
41,Aurora,2024-04-22,Visitor 5,Missed,Excellent cultural alignment
42,Britannia,2024-06-14,Visitor 6,Completed,Procedures not followed
43,Iona,2024-02-02,Visitor 6,Completed,Needs safety improvement
44,Arvia,2024-05-21,Visitor 9,Completed,Needs safety improvement
45,Britannia,2024-05-27,Visitor 6,Missed,Needs safety improvement
46,Ventura,2024-05-11,Visitor 2,Completed,Positive crew engagement
47,Arvia,2024-01-20,Visitor 6,Missed,Needs safety improvement
48,Iona,2024-03-14,Visitor 9,Completed,Excellent cultural alignment
49,Iona,2024-03-29,Visitor 2,Completed,Positive crew engagement
50,Britannia,2024-05-10,Visitor 3,Postponed,Procedures not followed
51,Arvia,2024-02-01,Visitor 4,Postponed,Excellent cultural alignment
52,Ventura,2024-05-16,Visitor 6,Missed,Excellent cultural alignment
53,Ventura,2024-03-18,Visitor 1,Missed,Needs safety improvement
54,Aurora,2024-04-01,Visitor 8,Missed,Positive crew engagement
55,Iona,2024-01-29,Visitor 5,Missed,Procedures not followed
56,Aurora,2024-04-15,Visitor 7,Missed,Needs safety improvement
57,Arvia,2024-04-04,Visitor 10,Missed,Excellent cultural alignment
58,Aurora,2024-02-20,Visitor 4,Postponed,Needs safety improvement
59,Arvia,2024-03-06,Visitor 3,Missed,Positive crew engagement
60,Iona,2024-06-01,Visitor 9,Completed,Procedures not followed
